To Kill a Mockingbird , Harper Lee, HarperCollins, "Set in the racially charged American South during the 1930s To Kill a Mockingbird follows the Finch family and their father lawyer Atticus Finch as he defends a black man wrongly accused of raping a white woman. The novel explores themes of racial injustice morality and compassion through the eyes of Scout Finch Atticus's young daughter.", 1960, 9780061120084
1984, George Orwell, Signet Classics, "In the dystopian society of Oceania ruled by the Party and its leader Big Brother Winston Smith rebels against the oppressive regime. 1984 explores themes of totalitarianism censorship and the consequences of absolute power depicting a haunting vision of a future where individuality is suppressed.", 1949, 780451524935
The Great Gatsby, F. Scott Fitzgerald, Scribner, " Set in the Roaring Twenties 'The Great Gatsby' is a tale of love wealth and societal excess. Narrated by Nick Carraway the story revolves around the mysterious Jay Gatsby and his pursuit of the American Dream. The novel explores themes of decadence disillusionment and the fragility of the American Dream.", 1925, 9780743273565
The Catcher in the Rye, J.D. Salinger, Little Brown and Company, "Narrated by the rebellious Holden Caulfield 'The Catcher in the Rye' follows his experiences in New York City after being expelled from boarding school. The novel is a timeless exploration of teenage angst alienation and the search for authenticity in a world Holden perceives as phony.", 1951, 9780316769480
Pride and Prejudice, Jane Austen, Penguin Classics, "Set in early 19th-century England 'Pride and Prejudice' follows the headstrong Elizabeth Bennet as she navigates societal expectations love and family dynamics. Jane Austen's classic novel is a satire of the manners and morals of the time known for its sharp wit memorable characters and timeless exploration of love and social class.", 1813, 9780141439518
Harry Potter and the Sorcerer's Stone, J.K. Rowling, Scholastic, "The first book in the Harry Potter series introduces readers to the young wizard Harry as he discovers his magical abilities and embarks on his journey at Hogwarts School of Witchcraft and Wizardry. 'Harry Potter and the Sorcerer's Stone' blends magic friendship and adventure in a captivating tale that has enchanted readers of all ages.", 1997, 9780590353403
The Lord of the Rings, J.R.R. Tolkien, Houghton Mifflin, "Comprising 'The Fellowship of the Ring' 'The Two Towers' and 'The Return of the King' The Lord of the Rings is an epic fantasy trilogy that follows the quest to destroy the One Ring and save Middle-earth. Tolkien's richly imagined world filled with diverse characters cultures and languages has made this trilogy a cornerstone of fantasy literature.", 1955, 9780618640157
One Hundred Years of Solitude, Gabriel García Márquez, Harper Perennial Modern Classics, "A landmark work of magic realism 'One Hundred Years of Solitude' chronicles the multi-generational history of the Buendía family in the fictional town of Macondo. Gabriel García Márquez weaves a tale that blends myth history and the surreal exploring themes of love power and the cyclical nature of time.", 1967, 978006112008
The Hobbit, J.R.R. Tolkien, Mariner Books, " 'The Hobbit' follows the journey of Bilbo Baggins a hobbit who reluctantly joins a company of dwarves on a quest to reclaim treasure guarded by the dragon Smaug. This classic fantasy novel is known for its adventurous spirit memorable characters and the introduction of the One Ring.", 1937, 9780547928227
The Hunger Games, Suzanne Collins, Scholastic Press, " In a dystopian future Katniss Everdeen volunteers to participate in the Hunger Games a televised fight to the death featuring teenagers from different districts. Suzanne Collins' gripping novel explores themes of survival sacrifice and rebellion against a tyrannical government.", 2008, 9780439023481 
